topic,link,domain,published_date,title,lang,sentiment
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/dbnl-acl080620.php,eurekalert.org,2020-08-06 13:59:45,A closer look at water-splitting's solar fuel potential,en,4 stars
SCIENCE,https://www.pulse.ng/news/world/an-irresistible-scent-makes-locusts-swarm-study-finds/jy784jw,pulse.ng,2020-08-12 15:14:19,"An irresistible scent makes locusts swarm, study finds",en,1 star
SCIENCE,https://www.express.co.uk/news/science/1322607/artificial-intelligence-warning-machine-learning-algorithm-social-media-data,express.co.uk,2020-08-13 21:01:00,Artificial intelligence warning: AI will know us better than we know ourselves,en,5 stars
SCIENCE,https://www.ndtv.com/world-news/glaciers-could-have-sculpted-mars-valleys-study-2273648,ndtv.com,2020-08-03 22:18:26,Glaciers Could Have Sculpted Mars Valleys: Study,en,3 stars
SCIENCE,https://www.thesun.ie/tech/5742187/perseid-meteor-shower-tonight-time-uk-see/,thesun.ie,2020-08-12 19:54:36,Perseid meteor shower 2020: What time and how to see the huge bright FIREBALLS over UK again tonight,en,5 stars
SCIENCE,https://interestingengineering.com/nasa-releases-in-depth-map-of-beirut-explosion-damage,interestingengineering.com,2020-08-08 11:05:45,NASA Releases In-Depth Map of Beirut Explosion Damage,en,1 star
SCIENCE,https://www.thequint.com/tech-and-auto/spacex-nasa-demo-2-rocket-launch-set-for-saturday-how-to-watch,thequint.com,2020-05-28 09:09:46,"SpaceX, NASA Demo-2 Rocket Launch Set for Saturday: How to Watch",en,5 stars
SCIENCE,https://www.thespacereview.com/article/4003/1,thespacereview.com,2020-08-10 22:48:23,Orbital space tourism set for rebirth in 2021,en,4 stars
SCIENCE,https://www.businessinsider.com/greenland-melting-ice-sheet-past-tipping-point-2020-8,businessinsider.com,2020-08-16 00:28:54,Greenland's melting ice sheet has 'passed the point of no return',en,1 star
SCIENCE,https://www.thehindubusinessline.com/news/science/nasa-invites-engineering-students-to-help-harvest-water-on-mars-moon/article32352915.ece,thehindubusinessline.com,2020-08-14 07:43:25,"NASA invites engineering students to help harvest water on Mars, Moon",en,4 stars
SCIENCE,https://www.azoquantum.com/News.aspx?newsID=7321,azoquantum.com,2020-08-04 14:02:00,Astronomers Detect Electromagnetic Signal Caused by Unequal Neutron-Star Collision,en,1 star
SCIENCE,https://interestingengineering.com/nasa-finds-ammonia-linked-mushballs-and-shallow-lightning-on-jupiter,interestingengineering.com,2020-08-07 09:23:57,NASA Finds Ammonia-Linked 'Mushballs' and 'Shallow Lightning' on Jupiter,en,3 stars
SCIENCE,https://menafn.com/1100601885/Russia-targets-returning-to-Venus-build-reusable-rocket,menafn.com,2020-08-07 22:05:55,"Russia targets returning to Venus, build reusable rocket",en,4 stars
SCIENCE,https://www.nasa.gov/press-release/goddard/2020/mars-nightglow/,nasa.gov,2020-08-06 16:28:32,Martian Night Sky Pulses in Ultraviolet Light,en,4 stars
SCIENCE,https://scitechdaily.com/energy-efficient-tuning-of-spintronic-neurons-to-imitate-the-non-linear-oscillatory-neural-networks-of-the-human-brain/,scitechdaily.com,2020-08-17 14:23:19,Energy-Efficient Tuning of Spintronic Neurons to Imitate the Non-linear Oscillatory Neural Networks of the Human Brain,en,5 stars
SCIENCE,https://www.theladders.com/career-advice/scientists-may-have-discovered-the-achilles-heel-of-the-coronavirus,theladders.com,2020-08-14 19:58:55,Scientists may have discovered the Achilles' heel of the coronavirus,en,3 stars
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/e-tbt080420.php,eurekalert.org,2020-08-04 16:02:36,Tradeoff between the eyes and nose helps flies find their niche,en,4 stars
SCIENCE,https://kearneyhub.com/news/national/2020s-final-mars-mission-poised-for-blastoff-from-florida/article_241d8506-ac89-56f5-8472-6c5f8423523d.html,kearneyhub.com,2020-08-08 17:13:07,2020's final Mars mission poised for blastoff from Florida,en,4 stars
SCIENCE,https://www.washingtonpost.com/science/ant-behavior-evolution-fossil/2020/08/14/a246197c-dcd6-11ea-809e-b8be57ba616e_story.html,washingtonpost.com,2020-08-15 12:00:00,"In rare find, fossil shows how Cretaceous-era ‘hell ant’ ate its prey with weird jaws",en,4 stars
SCIENCE,https://www.rnz.co.nz/news/world/422607/nasa-spacex-crew-return-dragon-capsule-splashes-down,rnz.co.nz,2020-08-02 18:50:38,Nasa SpaceX crew return: Dragon capsule splashes down,en,1 star
SCIENCE,https://www.techexplorist.com/look-mars-eerie-nightglow/34341/,techexplorist.com,2020-08-07 11:17:00,Take a look at Mar’s eerie nightglow,en,5 stars
SCIENCE,https://interestingengineering.com/cern-scientists-discover-rare-higgs-boson-process,interestingengineering.com,2020-08-05 13:08:05,CERN Scientists Discover Rare Higgs Boson Process,en,4 stars
SCIENCE,https://www.liverpoolecho.co.uk/news/liverpool-news/beautiful-healthy-young-woman-died-18747884,liverpoolecho.co.uk,2020-08-11 04:00:00,'Beautiful and healthy' young woman died suddenly on dream work trip in Australia,en,4 stars
SCIENCE,https://scitechdaily.com/hubble-uses-moon-as-mirror-to-study-earths-atmosphere-proxy-in-search-of-potentially-habitable-planets-around-other-stars/,scitechdaily.com,2020-08-06 14:28:45,Hubble Uses Moon As “Mirror” to Study Earth’s Atmosphere – Proxy in Search of Potentially Habitable Planets Around Other Stars,en,4 stars
SCIENCE,https://www.daijiworld.com/news/newsDisplay.aspx?newsID=737478,daijiworld.com,2020-08-04 10:07:36,Indian researchers show how Covid-19 PPE can turn into biofuel,en,4 stars
SCIENCE,https://www.thechronicleherald.ca/lifestyles/regional-lifestyles/atlantic-skies-young-astronomers-and-the-perseid-meteors-481695/,thechronicleherald.ca,2020-08-07 10:11:08,ATLANTIC SKIES: Young astronomers and the Perseid meteors,en,4 stars
SCIENCE,https://www.clickorlando.com/news/local/2020/08/04/nasa-astronauts-to-talk-about-historic-spacex-splashdown/,clickorlando.com,2020-08-04 23:21:00,‘It came alive:’ NASA astronauts describe experiencing splashdown in SpaceX Dragon,en,5 stars
SCIENCE,https://www.sproutwired.com/when-did-humans-find-out-how-to-use-fire/,sproutwired.com,2020-08-08 15:00:00,When did humans find out how to use fire?,en,3 stars
SCIENCE,https://futurism.com/the-byte/sourdough-exoplanet-surprisingly-dense,futurism.com,2020-08-04 07:00:00,"Like Your First Quarantine Sourdough Attempt, This Exoplanet Is ""Surprisingly Dense""",en,4 stars
SCIENCE,https://www.heritagedaily.com/2020/08/ring-like-structure-on-ganymede-may-have-been-caused-by-a-violent-impact/134643,heritagedaily.com,2020-08-07 22:11:40,Ring-like Structure on Ganymede May Have Been Caused by a Violent Impact,en,3 stars
SCIENCE,https://www.cbsnews.com/news/nasa-drops-insensitive-nicknames-cosmic-objects/,cbsnews.com,2020-08-08 18:39:00,"NASA drops ""insensitive"" nicknames for cosmic objects",en,1 star
SCIENCE,https://www.express.co.uk/news/science/1323379/Archaeology-news-Jerusalem-Siloam-Tunnel-inscription-Hezekiah-Bible-accurate,express.co.uk,2020-08-16 09:01:00,"Archaeology: A 2,700-year-old inscription in Jerusalem proves Bible RIGHT, expert claims",en,4 stars
SCIENCE,https://www.cbsnews.com/news/mars-helicopter-ingenuity-milestone-perseverance-rover/,cbsnews.com,2020-08-17 11:22:00,"Mars helicopter reaches ""big milestone"" on flight to planet",en,5 stars
SCIENCE,https://www.dailymail.co.uk/sciencetech/article-8612449/Sunspot-size-Mars-turning-Earth-solar-flares-affect-electronics.html,dailymail.co.uk,2020-08-10 15:51:55,Sunspot the size of Mars is turning towards Earth,en,4 stars
SCIENCE,https://www.space.com/jupiter-moon-ganymede-giant-impact-scar.html,space.com,2020-08-07 20:44:00,Jupiter's huge moon Ganymede may have the largest impact scar in the solar system,en,3 stars
SCIENCE,https://www.mirror.co.uk/science/man-posts-mind-blowing-tiktok-22521686,mirror.co.uk,2020-08-14 11:58:00,Man posts mind-blowing TikTok from highest point in Canada to disprove Flat Earth theory,en,5 stars
SCIENCE,https://www.27east.com/southampton-press/cause-of-massive-fish-kill-in-shinnecock-canal-not-clear-2-1479054/,27east.com,2019-11-23 16:07:14,Cause Of Massive Fish Kill In Shinnecock Canal Not Clear - 27 East,en,1 star
SCIENCE,https://www.eurekalert.org/pub_releases/2020-08/ps-unm080320.php,eurekalert.org,2020-08-03 20:17:32,"Unequal neutron-star mergers create unique ""bang"" in simulations",en,1 star
SCIENCE,https://www.cnn.com/2020/08/03/us/zombie-cicadas-west-virginia-fungus-scn-trnd/index.html,cnn.com,2020-08-03 21:59:00,'Zombie cicadas' under the influence of a mind controlling fungus have returned to West Virginia,en,1 star
SCIENCE,https://www.sciencealert.com/astronomers-may-have-just-found-a-missing-baby-neutron-star,sciencealert.com,2020-08-04 06:01:29,Astronomers May Have Found a Lost Neutron Star That's Been Missing For Decades,en,3 stars
SCIENCE,https://www.somagnews.com/spacexs-starship-spacecraft-saw-150-meters-high/,somagnews.com,2020-08-05 17:12:00,SpaceX's Starship spacecraft saw 150 meters high,en,1 star
SCIENCE,https://www.sciencealert.com/these-orbs-look-like-candy-but-they-re-actually-different-flavours-of-a-martian-moon,sciencealert.com,2020-08-13 23:23:31,"These Orbs Look Like Candy, But They're Actually Different Flavours of Phobos",en,3 stars
TECHNOLOGY,https://www.kotaku.com.au/2020/08/come-see-what-its-like-to-play-microsoft-flight-simulator/,kotaku.com.au,2020-08-14 06:29:00,Come See What It’s Like To Play Microsoft Flight Simulator,en,5 stars
TECHNOLOGY,https://www.notebookcheck.net/Xiaomi-rolls-out-Android-10-to-the-Redmi-Note-7-Pro-in-India-as-Mi-Note-10-and-Redmi-Note-8-Pro-receive-new-MIUI-12-upgrades.485157.0.html,notebookcheck.net,2020-08-11 16:17:38,Xiaomi rolls out Android 10 to the Redmi Note 7 Pro in India as Mi Note 10 and Redmi Note 8 Pro receive new MIUI 12 upgrades,en,5 stars
